"NU_CUSTOMER";"BANDEIRA";"RELATORIO"
1041163204;"1041163204-CABA";"DOMICILIO BANCARIO"
1041163204;"1041163204-CRED";"DOMICILIO BANCARIO"
1041163204;"1041163204-SORO";"DOMICILIO BANCARIO"
1041196820;"1041196820-DINE";"DOMICILIO BANCARIO"
1041206949;"1041206949-SORO";"DOMICILIO BANCARIO"
1041225943;"1041225943-CABA";"DOMICILIO BANCARIO"
1041228284;"1041228284-DINE";"DOMICILIO BANCARIO"
1041295755;"1041295755-DINE";"DOMICILIO BANCARIO"
1041337598;"1041337598-DINE";"DOMICILIO BANCARIO"
1041627723;"1041627723-DINE";"DOMICILIO BANCARIO"
1041813780;"1041813780-DINE";"DOMICILIO BANCARIO"
1041865470;"1041865470-DINE";"DOMICILIO BANCARIO"
1042123133;"1042123133-DINE";"DOMICILIO BANCARIO"
1042187930;"1042187930-CABA";"DOMICILIO BANCARIO"
1042187930;"1042187930-CRED";"DOMICILIO BANCARIO"
1042187930;"1042187930-DINE";"DOMICILIO BANCARIO"
1042187930;"1042187930-SORO";"DOMICILIO BANCARIO"
1042199695;"1042199695-DINE";"DOMICILIO BANCARIO"
1042323957;"1042323957-DINE";"DOMICILIO BANCARIO"
1042425571;"1042425571-DINE";"DOMICILIO BANCARIO"
1042442085;"1042442085-DINE";"DOMICILIO BANCARIO"
1042544236;"1042544236-DINE";"DOMICILIO BANCARIO"
1042544236;"1042544236-SORO";"DOMICILIO BANCARIO"
1042561432;"1042561432-CABA";"DOMICILIO BANCARIO"
1042561432;"1042561432-CRED";"DOMICILIO BANCARIO"
1042561432;"1042561432-DINE";"DOMICILIO BANCARIO"
1042561432;"1042561432-SORO";"DOMICILIO BANCARIO"
1042604530;"1042604530-DINE";"DOMICILIO BANCARIO"
1042641290;"1042641290-CABA";"DOMICILIO BANCARIO"
1042641290;"1042641290-CRED";"DOMICILIO BANCARIO"
1042641290;"1042641290-SORO";"DOMICILIO BANCARIO"
1042676426;"1042676426-DINE";"DOMICILIO BANCARIO"
1042678720;"1042678720-DINE";"DOMICILIO BANCARIO"
1042708948;"1042708948-DINE";"DOMICILIO BANCARIO"
1042734361;"1042734361-DINE";"DOMICILIO BANCARIO"
1042783508;"1042783508-DINE";"DOMICILIO BANCARIO"
1042804181;"1042804181-CABA";"DOMICILIO BANCARIO"
1042804181;"1042804181-CRED";"DOMICILIO BANCARIO"
1042804181;"1042804181-DINE";"DOMICILIO BANCARIO"
1042804181;"1042804181-SORO";"DOMICILIO BANCARIO"
1043463868;"1043463868-CABA";"DOMICILIO BANCARIO"
1043463868;"1043463868-CRED";"DOMICILIO BANCARIO"
1043463868;"1043463868-DINE";"DOMICILIO BANCARIO"
1043463868;"1043463868-SORO";"DOMICILIO BANCARIO"
1043602469;"1043602469-CABA";"DOMICILIO BANCARIO"
1043602469;"1043602469-CRED";"DOMICILIO BANCARIO"
1043602469;"1043602469-DINE";"DOMICILIO BANCARIO"
1043602469;"1043602469-SORO";"DOMICILIO BANCARIO"
1044106970;"1044106970-DINE";"DOMICILIO BANCARIO"
1044140884;"1044140884-BANE";"DOMICILIO BANCARIO"
1044140884;"1044140884-CABA";"DOMICILIO BANCARIO"
1044140884;"1044140884-CRED";"DOMICILIO BANCARIO"
1044140884;"1044140884-SORO";"DOMICILIO BANCARIO"
1044145509;"1044145509-DINE";"DOMICILIO BANCARIO"
1044363557;"1044363557-MAST";"DOMICILIO BANCARIO"
1044428063;"1044428063-CABA";"DOMICILIO BANCARIO"
1044592599;"1044592599-DINE";"DOMICILIO BANCARIO"
1044592599;"1044592599-MAST";"DOMICILIO BANCARIO"
1044808451;"1044808451-DINE";"DOMICILIO BANCARIO"
1044911147;"1044911147-CABA";"DOMICILIO BANCARIO"
1044911147;"1044911147-CRED";"DOMICILIO BANCARIO"
1044911147;"1044911147-DINE";"DOMICILIO BANCARIO"
1044911147;"1044911147-SORO";"DOMICILIO BANCARIO"
1044912488;"1044912488-DINE";"DOMICILIO BANCARIO"
1045014661;"1045014661-DINE";"DOMICILIO BANCARIO"
1045035804;"1045035804-CABA";"DOMICILIO BANCARIO"
1045035804;"1045035804-CRED";"DOMICILIO BANCARIO"
1045035804;"1045035804-DINE";"DOMICILIO BANCARIO"
1045035804;"1045035804-SORO";"DOMICILIO BANCARIO"
1045088924;"1045088924-DINE";"DOMICILIO BANCARIO"
1045227428;"1045227428-CABA";"DOMICILIO BANCARIO"
1045227428;"1045227428-CRED";"DOMICILIO BANCARIO"
1045227428;"1045227428-SORO";"DOMICILIO BANCARIO"
1045269236;"1045269236-CABA";"DOMICILIO BANCARIO"
1045269236;"1045269236-CRED";"DOMICILIO BANCARIO"
1045269236;"1045269236-DINE";"DOMICILIO BANCARIO"
1045269236;"1045269236-SORO";"DOMICILIO BANCARIO"
1045290758;"1045290758-DINE";"DOMICILIO BANCARIO"
1045316412;"1045316412-DINE";"DOMICILIO BANCARIO"
1045368595;"1045368595-DINE";"DOMICILIO BANCARIO"
1045422514;"1045422514-DINE";"DOMICILIO BANCARIO"
1045546710;"1045546710-DINE";"DOMICILIO BANCARIO"
1045546710;"1045546710-MAST";"DOMICILIO BANCARIO"
1045546710;"1045546710-VISA";"DOMICILIO BANCARIO"
1045610264;"1045610264-CABA";"DOMICILIO BANCARIO"
1045610264;"1045610264-CRED";"DOMICILIO BANCARIO"
1045610264;"1045610264-DINE";"DOMICILIO BANCARIO"
1045610264;"1045610264-SORO";"DOMICILIO BANCARIO"
1045638150;"1045638150-DINE";"DOMICILIO BANCARIO"
1045708736;"1045708736-CABA";"DOMICILIO BANCARIO"
1045708736;"1045708736-CRED";"DOMICILIO BANCARIO"
1045708736;"1045708736-DINE";"DOMICILIO BANCARIO"
1045708736;"1045708736-SORO";"DOMICILIO BANCARIO"
1045827565;"1045827565-CRED";"DOMICILIO BANCARIO"
1045949628;"1045949628-BANE";"DOMICILIO BANCARIO"
1045949628;"1045949628-CRED";"DOMICILIO BANCARIO"
1045949628;"1045949628-SORO";"DOMICILIO BANCARIO"
1045970180;"1045970180-BANE";"DOMICILIO BANCARIO"
1046241289;"1046241289-DINE";"DOMICILIO BANCARIO"
1046253430;"1046253430-CABA";"DOMICILIO BANCARIO"
1046253430;"1046253430-CRED";"DOMICILIO BANCARIO"
1046253430;"1046253430-DINE";"DOMICILIO BANCARIO"
1046253430;"1046253430-SORO";"DOMICILIO BANCARIO"
1046270122;"1046270122-DINE";"DOMICILIO BANCARIO"
1046314863;"1046314863-DINE";"DOMICILIO BANCARIO"
1046348865;"1046348865-DINE";"DOMICILIO BANCARIO"
1046480291;"1046480291-DINE";"DOMICILIO BANCARIO"
1046491579;"1046491579-DINE";"DOMICILIO BANCARIO"
1046578151;"1046578151-DINE";"DOMICILIO BANCARIO"
1046595510;"1046595510-DINE";"DOMICILIO BANCARIO"
1046657230;"1046657230-DINE";"DOMICILIO BANCARIO"
1046732770;"1046732770-CABA";"DOMICILIO BANCARIO"
1046732770;"1046732770-CRED";"DOMICILIO BANCARIO"
1046732770;"1046732770-SORO";"DOMICILIO BANCARIO"
1046805425;"1046805425-DINE";"DOMICILIO BANCARIO"
1046955524;"1046955524-CABA";"DOMICILIO BANCARIO"
1046955524;"1046955524-CRED";"DOMICILIO BANCARIO"
1046955524;"1046955524-DINE";"DOMICILIO BANCARIO"
1046955524;"1046955524-SORO";"DOMICILIO BANCARIO"
1047198280;"1047198280-CRED";"DOMICILIO BANCARIO"
1047198280;"1047198280-SORO";"DOMICILIO BANCARIO"
1047474562;"1047474562-DINE";"DOMICILIO BANCARIO"
1047474562;"1047474562-MAST";"DOMICILIO BANCARIO"
1047474562;"1047474562-VISA";"DOMICILIO BANCARIO"
1047497899;"1047497899-MAST";"DOMICILIO BANCARIO"
1047873521;"1047873521-DINE";"DOMICILIO BANCARIO"
1047878957;"1047878957-DINE";"DOMICILIO BANCARIO"
1047919424;"1047919424-BANE";"DOMICILIO BANCARIO"
1047919424;"1047919424-CABA";"DOMICILIO BANCARIO"
1047919424;"1047919424-CRED";"DOMICILIO BANCARIO"
1047919424;"1047919424-SORO";"DOMICILIO BANCARIO"
1047975600;"1047975600-BANE";"DOMICILIO BANCARIO"
1047975600;"1047975600-CABA";"DOMICILIO BANCARIO"
1047975600;"1047975600-CRED";"DOMICILIO BANCARIO"
1047975600;"1047975600-DINE";"DOMICILIO BANCARIO"
1047975600;"1047975600-SORO";"DOMICILIO BANCARIO"
1048006341;"1048006341-DINE";"DOMICILIO BANCARIO"
1048071097;"1048071097-DINE";"DOMICILIO BANCARIO"
1048291755;"1048291755-DINE";"DOMICILIO BANCARIO"
1048363080;"1048363080-BANE";"DOMICILIO BANCARIO"
1048363080;"1048363080-CABA";"DOMICILIO BANCARIO"
1048363080;"1048363080-CRED";"DOMICILIO BANCARIO"
1048951402;"1048951402-MAST";"DOMICILIO BANCARIO"
1048951402;"1048951402-VISA";"DOMICILIO BANCARIO"
1049001114;"1049001114-DINE";"DOMICILIO BANCARIO"
1049593453;"1049593453-DINE";"DOMICILIO BANCARIO"
1049593453;"1049593453-MAST";"DOMICILIO BANCARIO"
1049593453;"1049593453-VISA";"DOMICILIO BANCARIO"
1049661432;"1049661432-BANE";"DOMICILIO BANCARIO"
1049661432;"1049661432-CABA";"DOMICILIO BANCARIO"
1049661432;"1049661432-CRED";"DOMICILIO BANCARIO"
