#EC;SERVICO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ;DATA_CONTROLE
"1011201469";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1011201469";"29092017"
"1011328140";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1011328140";"29092017"
"1011671562";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1011671562";"29092017"
"1011810600";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1011810600";"29092017"
"1012233453";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1012233453";"29092017"
"1012412412";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1012412412";"29092017"
"1012465389";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1012465389";"29092017"
"1012606853";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1012606853";"29092017"
"1012743087";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1012743087";"29092017"
"1012910315";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1012910315";"29092017"
"1013094490";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1013094490";"29092017"
"1013271987";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1013271987";"29092017"
"1013955029";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1013955029";"29092017"
"1013974597";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1013974597";"29092017"
"1013987982";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1013987982";"29092017"
"1013988652";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1013988652";"29092017"
"1014268742";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014268742";"29092017"
"1014548443";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014548443";"29092017"
"1014569661";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014569661";"29092017"
"1014722966";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014722966";"29092017"
"1014726775";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014726775";"29092017"
"1014795548";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014795548";"29092017"
"1014922973";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014922973";"29092017"
"1014953062";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1014953062";"29092017"
"1015137986";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1015137986";"29092017"
"1015345163";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1015345163";"29092017"
"1015565635";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1015565635";"29092017"
"1015685509";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1015685509";"29092017"
"1015784710";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1015784710";"29092017"
"1016518959";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1016518959";"29092017"
"1016665463";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1016665463";"29092017"
"1016700994";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1016700994";"29092017"
"1016806644";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1016806644";"29092017"
"1017134011";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017134011";"29092017"
"1017297360";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017297360";"29092017"
"1017331089";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017331089";"29092017"
"1017446234";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017446234";"29092017"
"1017804670";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017804670";"29092017"
"1017824395";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017824395";"29092017"
"1017840595";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1017840595";"29092017"
"1018246085";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1018246085";"29092017"
"1018683906";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1018683906";"29092017"
"1019308386";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1019308386";"29092017"
"1019321722";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1019321722";"29092017"
"1019555405";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1019555405";"29092017"
"1019756680";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1019756680";"29092017"
"1019817680";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1019817680";"29092017"
"1019847082";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1019847082";"29092017"
"1020160524";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1020160524";"29092017"
"1020392816";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1020392816";"29092017"
"1020503618";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1020503618";"29092017"
"1021015242";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021015242";"29092017"
"1021057360";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021057360";"29092017"
"1021103044";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021103044";"29092017"
"1021145480";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021145480";"29092017"
"1021520265";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021520265";"29092017"
"1021585316";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021585316";"29092017"
"1021761114";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1021761114";"29092017"
"1022042804";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022042804";"29092017"
"1022193101";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022193101";"29092017"
"1022289630";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022289630";"29092017"
"1022337863";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022337863";"29092017"
"1022344207";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022344207";"29092017"
"1022549755";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022549755";"29092017"
"1022574229";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022574229";"29092017"
"1022778410";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022778410";"29092017"
"1022798089";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022798089";"29092017"
"1022889963";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022889963";"29092017"
"1022943640";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1022943640";"29092017"
"1023167058";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1023167058";"29092017"
"1023319877";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1023319877";"29092017"
"1023323815";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1023323815";"29092017"
"1023360419";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1023360419";"29092017"
"1023419189";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1023419189";"29092017"
"1023535359";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1023535359";"29092017"
"1024052050";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024052050";"29092017"
"1024104734";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024104734";"29092017"
"1024173914";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024173914";"29092017"
"1024208726";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024208726";"29092017"
"1024339740";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024339740";"29092017"
"1024364043";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024364043";"29092017"
"1024366801";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024366801";"29092017"
"1024409578";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024409578";"29092017"
"1024425468";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024425468";"29092017"
"1024481759";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024481759";"29092017"
"1024483662";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024483662";"29092017"
"1024492882";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024492882";"29092017"
"1024507812";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024507812";"29092017"
"1024540275";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024540275";"29092017"
"1024547750";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024547750";"29092017"
"1024551196";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024551196";"29092017"
"1024655889";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024655889";"29092017"
"1024722756";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024722756";"29092017"
"1024722918";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024722918";"29092017"
"1024726778";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024726778";"29092017"
"1024853192";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024853192";"29092017"
"1024861284";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1024861284";"29092017"
"1025089461";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1025089461";"29092017"
"1026186673";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1026186673";"29092017"
"1026470649";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1026470649";"29092017"
"1026521120";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1026521120";"29092017"
"1027144028";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027144028";"29092017"
"1027327530";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027327530";"29092017"
"1027327556";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027327556";"29092017"
"1027371296";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027371296";"29092017"
"1027395659";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027395659";"29092017"
"1027688605";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027688605";"29092017"
"1027824282";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027824282";"29092017"
"1027912289";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027912289";"29092017"
"1027980250";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1027980250";"29092017"
"1028113053";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028113053";"29092017"
"1028153870";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028153870";"29092017"
"1028200215";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028200215";"29092017"
"1028200223";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028200223";"29092017"
"1028212566";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028212566";"29092017"
"1028260684";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028260684";"29092017"
"1028322850";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028322850";"29092017"
"1028338900";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028338900";"29092017"
"1028385150";"HABILITACAO_DCC";"STATUS";"DCC HABILITADO";"DCC DESABILITADO";"1028385150";"29092017"
